industry_id,name,layer_id,primary_layer,industry_group_id,industry_group,definition,includes,excludes,common_specialties,keywords
DCS-L1-CON-004,Mechanical Contractors,DCS-L1,1,DCS-L1-CON,Construction,"Contractors installing cooling plants, HVAC, piping and other facility mechanical systems.",chilled-water piping | HVAC installation | cooling plant installation,cooling equipment manufacturing | thermal design,mechanical piping | air handling | cooling plant buildout,mechanical contractor | HVAC contractor | chilled water | mechanical piping
DCS-L1-COM-001,Facility Commissioning & Integrated Systems Testing,DCS-L1,1,DCS-L1-COM,Commissioning,"Organizations verifying that facility systems are installed, integrated and performing as intended before or during turnover to operations.",commissioning authority | integrated systems testing | functional performance testing,routine maintenance testing | application testing,Level 1-5 commissioning | IST | functional testing,commissioning | CxA | integrated systems testing | IST
DCS-L2-CMP-001,Server & Compute Hardware,DCS-L2,2,DCS-L2-CMP,Compute & Storage,Manufacturers and suppliers of server systems and general-purpose compute hardware installed in data centers.,rack servers | blade servers | compute nodes,cloud compute services | server installation services,rack servers | blade systems | modular compute,server | compute hardware | rack server | blade server
DCS-L2-CMP-002,Storage Hardware,DCS-L2,2,DCS-L2-CMP,Compute & Storage,Manufacturers and suppliers of physical data storage systems and appliances.,SAN | NAS | storage arrays | backup appliances,cloud storage services | storage software with no hardware,block storage | file storage | object storage appliances,storage hardware | SAN | NAS | storage array
DCS-L2-CMP-003,Semiconductors & Accelerators,DCS-L2,2,DCS-L2-CMP,Compute & Storage,"Manufacturers of CPUs, GPUs, AI accelerators and other silicon providing data center compute capability.",CPUs | GPUs | AI accelerators | DPUs,server systems | cloud GPU services,AI accelerators | processors | DPUs | custom silicon,GPU | CPU | accelerator | processor | semiconductor | DPU
DCS-L2-NET-001,Network Equipment,DCS-L2,2,DCS-L2-NET,Network & Connectivity,"Manufacturers and suppliers of switches, routers and active network infrastructure used inside data centers.",switches | routers | network fabrics,carrier services | structured cabling labor,leaf-spine switching | routing | network appliances,network equipment | switch | router | ethernet fabric
DCS-L2-NET-002,Optical Transceivers & Photonics,DCS-L2,2,DCS-L2-NET,Network & Connectivity,"Manufacturers and suppliers of optical modules, transceivers and photonic components used for high-speed data center connectivity.",optical transceivers | silicon photonics | coherent optics,fiber installation | carrier wavelength services,400G optics | 800G optics | coherent modules | silicon photonics,optics | transceiver | photonics | 400G | 800G
DCS-L2-NET-003,"Fiber, Copper & Passive Connectivity Products",DCS-L2,2,DCS-L2-NET,Network & Connectivity,"Manufacturers and suppliers of passive fiber, copper, connectors, patching and cable-management systems.",fiber cable | copper cable | patch panels | MPO/MTP systems,structured cabling labor | network switches,fiber assemblies | patch cords | connectors | cable management,fiber cable | copper cabling | MPO | MTP | patch panel
DCS-L2-CON-001,"Carriers, Fiber & Interconnection Providers",DCS-L2,2,DCS-L2-NET,Network & Connectivity,"Organizations providing telecommunications transport, dark fiber, wavelengths, internet transit, cross-connect or interconnection services.",dark fiber | wavelength services | IP transit | cross-connect services,network hardware manufacturing | inside-plant cabling installation,metro fiber | long-haul transport | internet exchange | cross-connects,carrier | dark fiber | wavelength | IP transit | cross connect | interconnection
DCS-L2-PWR-001,Critical Power Infrastructure,DCS-L2,2,DCS-L2-PWR,Power,"Manufacturers of systems that condition, protect or maintain continuous electrical power to critical data center loads.",UPS systems | static transfer switches | battery backup,utility grid service | facility electrical contracting,UPS | STS | battery energy storage | power conditioning,UPS | critical power | static transfer switch | battery backup
DCS-L2-PWR-002,Electrical Distribution Equipment,DCS-L2,2,DCS-L2-PWR,Power,"Manufacturers of transformers, switchgear, busway, PDUs, RPPs and related electrical distribution equipment.",transformers | switchgear | busway | PDUs | RPPs,electrical installation labor | utility transmission,medium-voltage gear | rack PDUs | floor PDUs | panelboards,switchgear | transformer | busway | PDU | RPP
DCS-L2-PWR-003,Backup Generation,DCS-L2,2,DCS-L2-PWR,Power,Manufacturers and suppliers of standby or emergency generation systems used at data center facilities.,diesel generators | gas generators | generator controls,utility-scale generation | UPS systems,gensets | generator controls | fuel systems,generator | genset | backup power | standby generation
DCS-L2-PWR-004,Fuel Cells & On-Site Energy Systems,DCS-L2,2,DCS-L2-PWR,Power,Manufacturers and suppliers of fuel cells and other on-site primary or supplemental energy systems deployed at data centers.,fuel cells | microgrids | on-site generation systems,utility-scale generation | traditional standby-only generators,solid oxide fuel cells | microgrids | distributed energy,fuel cell | microgrid | on-site energy | distributed generation
DCS-L2-CLG-001,Air Cooling & Thermal Management,DCS-L2,2,DCS-L2-CLG,Cooling,"Manufacturers of chillers, CRAHs, CRACs, heat exchangers and other air-based data center cooling systems.",chillers | CRAH | CRAC | cooling towers,mechanical installation labor | liquid-cooling-only products,free cooling | air handlers | rear-door heat exchangers,data center cooling | chiller | CRAH | CRAC | thermal management
DCS-L2-CLG-002,Liquid Cooling Infrastructure,DCS-L2,2,DCS-L2-CLG,Cooling,"Manufacturers and suppliers of direct-to-chip, immersion and supporting liquid-cooling infrastructure.",CDUs | direct-to-chip cooling | immersion cooling,traditional air-cooling-only systems | mechanical contracting,manifolds | cold plates | immersion tanks | coolant distribution,liquid cooling | CDU | direct to chip | immersion
DCS-L2-PHY-001,"Racks, Enclosures & Containment",DCS-L2,2,DCS-L2-PHY,Physical Infrastructure,"Manufacturers and suppliers of racks, cabinets, cages and containment systems used to house IT infrastructure.",server racks | network cabinets | hot-aisle containment | cold-aisle containment,rack installation labor | building structure,open-frame racks | secure cages | containment,rack | cabinet | enclosure | containment
DCS-L2-PHY-002,"Raised Floor, Ceiling & White-Space Systems",DCS-L2,2,DCS-L2-PHY,Physical Infrastructure,Manufacturers and suppliers of modular physical systems used to organize and support the data center white space.,raised access floor | ceiling grids | equipment support systems,building structural construction | rack manufacturing,access flooring | ceiling systems | support framing,raised floor | access floor | white space | ceiling grid
DCS-L2-SEC-001,Physical Security Infrastructure,DCS-L2,2,DCS-L2-SEC,Security,"Manufacturers and suppliers of access control, surveillance, biometrics and physical security systems.",access control | biometrics | video surveillance | security sensors,cybersecurity software | guard services,electronic locks | CCTV | identity readers,physical security | access control | biometric | surveillance
DCS-L2-CTL-001,"BMS, EPMS & Facility Controls",DCS-L2,2,DCS-L2-CTL,Controls & Software,"Technology providers supplying building, electrical power and facility control systems used to monitor and control physical infrastructure.",BMS | EPMS | PLC controls | facility automation,facility operations labor | DCIM focused primarily on IT assets,power monitoring | building automation | controls integration,BMS | EPMS | building management | facility controls | PLC
DCS-L2-SFT-001,DCIM & Infrastructure Management Software,DCS-L2,2,DCS-L2-CTL,Controls & Software,"Software providers whose products inventory, model, monitor or manage data center physical and IT infrastructure, capacity and environmental state.",DCIM | capacity management | rack visualization | asset management software,managed operations services | general ITSM,capacity planning | asset visualization | environmental telemetry,DCIM | capacity management | data center infrastructure management
DCS-L3-LOG-001,Data Center Logistics,DCS-L3,3,DCS-L3-LOG,Logistics,"Organizations coordinating the movement, staging, delivery, tracking and lifecycle logistics of data center infrastructure.",project logistics | deployment logistics | asset tracking | reverse logistics,general freight with no data center specialization | equipment installation as primary service,white-glove delivery | project coordination | chain of custody | reverse logistics,data center logistics | project logistics | deployment logistics | asset tracking
DCS-L3-LOG-002,Warehousing & Staging,DCS-L3,3,DCS-L3-LOG,Logistics,"Organizations providing secure storage, receiving, inventory, staging, kitting and pre-deployment preparation.",receiving | staging | kitting | inventory holding,general self-storage | field installation,secure storage | asset staging | pre-configuration staging,warehousing | staging | kitting | receiving | inventory
DCS-L3-LOG-003,Specialized Transportation & Freight,DCS-L3,3,DCS-L3-LOG,Logistics,"Transportation providers specializing in secure, time-sensitive or high-value movement of data center infrastructure.",dedicated trucking | expedited freight | secure transport,general parcel delivery | rigging inside facilities,air freight | dedicated truck | team drivers | high-value freight,specialized transportation | freight | secure transport | expedited
DCS-L3-LOG-004,Rigging & Heavy Equipment Moving,DCS-L3,3,DCS-L3-LOG,Logistics,"Organizations that lift, position and move heavy infrastructure such as generators, transformers, switchgear and chillers.",rigging | machinery moving | crane services | equipment placement,general trucking | rack-and-stack,inside delivery | heavy haul | crane setting | machinery placement,rigging | machinery moving | heavy equipment | crane
DCS-L3-LOG-005,Freight Forwarding & International Logistics,DCS-L3,3,DCS-L3-LOG,Logistics,"Organizations coordinating international transportation, customs, documentation and multimodal movement of data center equipment.",air forwarding | ocean forwarding | customs coordination | multimodal freight,domestic warehousing only | customs law services,international forwarding | customs brokerage coordination | air cargo,freight forwarding | international logistics | customs | air freight | ocean freight
DCS-L3-INT-001,Systems Integration,DCS-L3,3,DCS-L3-INT,Integration & Installation,"Organizations combining hardware, software, network and infrastructure components into functioning data center systems.",IT systems integration | infrastructure integration | solution implementation,product manufacturing | ongoing managed operations,compute integration | storage integration | solution deployment,systems integrator | integration | solution implementation
DCS-L3-INT-002,Network Integration & Turn-Up,DCS-L3,3,DCS-L3-INT,Integration & Installation,"Organizations implementing, configuring, testing and turning up network infrastructure inside data centers.",switch configuration | router deployment | network turn-up | cross-connect testing,carrier service itself | network hardware manufacturing,BGP turn-up | fabric deployment | optical testing,network integration | network deployment | turn-up | cross-connect testing
DCS-L3-INS-001,Rack & Stack / Equipment Installation,DCS-L3,3,DCS-L3-INT,Integration & Installation,"Service providers physically installing, racking, cabling and preparing servers, storage, network and related IT equipment for service.",rack and stack | server installation | network equipment installation,facility electrical construction | ongoing smart hands,equipment labeling | rack installation | PDU mounting,rack and stack | server installation | equipment installation
DCS-L3-INS-002,Structured Cabling Installation,DCS-L3,3,DCS-L3-INT,Integration & Installation,"Contractors installing, terminating, testing and documenting copper and fiber structured cabling.",fiber installation | copper installation | termination | certification testing,cable manufacturing | carrier fiber service,MPO installation | fiber splicing | cable testing,structured cabling | fiber installation | copper installation | termination
DCS-L3-INS-003,White-Space Buildout & Fit-Out,DCS-L3,3,DCS-L3-INT,Integration & Installation,Organizations completing deployable data hall or customer white-space fit-outs after the base facility is available.,cages | containment fit-out | ladder rack | rack rows | customer suite fit-out,base-building construction | server installation only,cage buildout | ladder rack | overhead support | customer suite buildout,white space buildout | fit-out | data hall buildout | cage installation
DCS-L3-LCY-001,Data Center Migration & Relocation,DCS-L3,3,DCS-L3-LCY,Lifecycle Services,"Organizations planning and executing physical relocation of production infrastructure between rooms, buildings, campuses or data centers.",server migration | equipment relocation | cutover logistics,logical cloud migration with no physical move | routine freight,move planning | cutover | rack relocation | live migration support,data center migration | relocation | server move | cutover
DCS-L3-LCY-002,ITAD & Asset Disposition,DCS-L3,3,DCS-L3-LCY,Lifecycle Services,"Organizations processing retired IT assets through data destruction, remarketing, recycling and disposition.",IT asset disposition | data destruction | remarketing | recycling,active asset storage | routine maintenance replacement,certified destruction | resale | recycling | chain of custody,ITAD | asset disposition | data destruction | remarketing | recycling
DCS-L3-LCY-003,Data Center Decommissioning,DCS-L3,3,DCS-L3-LCY,Lifecycle Services,"Organizations physically removing infrastructure and restoring space during data center exits, consolidations or retirements.",equipment deinstallation | cable removal | rack removal | site restoration,ITAD processing when disposition is the primary service | routine break-fix,data hall decommission | suite exit | cable abatement,decommissioning | deinstallation | data center exit | site restoration
DCS-L3-PMO-001,Deployment Project Management & Coordination,DCS-L3,3,DCS-L3-PMO,Deployment Management,"Organizations whose primary role is coordinating multi-vendor infrastructure deployment programs, schedules, sites and implementation activities.",deployment PMO | implementation management | rollout management,general construction management | advisory consulting with no execution responsibility,site coordination | vendor coordination | program rollout,deployment project management | implementation management | rollout | PMO
DCS-L4-OPS-001,Retail Colocation Operators,DCS-L4,4,DCS-L4-OPS,Data Center Operations,"Operators providing smaller-scale colocation space, power, connectivity and support directly to enterprise and network customers.",retail colocation | cabinets | cages | cross-connect services,wholesale-only campuses | public cloud services,single cabinets | private cages | interconnection-rich colo,retail colocation | colo | cabinet colocation | cage colocation
DCS-L4-OPS-002,Wholesale & Hyperscale Data Center Operators,DCS-L4,4,DCS-L4-OPS,Data Center Operations,"Operators providing large-scale suites, halls or dedicated facilities to hyperscale, cloud and large enterprise customers.",wholesale colocation | hyperscale campuses | dedicated data halls,retail-only colocation | developer-only companies that do not operate,powered shells under operation | large suites | hyperscale capacity,wholesale data center | hyperscale data center | data hall | campus operator
DCS-L4-OPS-003,Edge Data Center Operators,DCS-L4,4,DCS-L4-OPS,Data Center Operations,"Operators of smaller distributed facilities positioned closer to end users, networks or localized demand.",edge facilities | micro data centers | regional edge sites,edge software platforms | CDN software only,metro edge | micro edge | distributed facilities,edge data center | micro data center | distributed data center
DCS-L4-FAC-001,Critical Environment Operations,DCS-L4,4,DCS-L4-FAC,Facility Operations,Providers responsible for day-to-day operation of critical electrical and mechanical facility infrastructure.,critical facilities operations | MOP/SOP execution | alarm response | rounds,facility construction | equipment manufacturing,shift operations | critical facilities engineering | EOP execution,critical environment | critical facilities | facility operations | MOP | SOP
DCS-L4-FAC-002,Facility Management Services,DCS-L4,4,DCS-L4-FAC,Facility Operations,"Organizations managing the broader operational, maintenance, vendor and service functions of active data center facilities.",facility management | vendor management | preventive maintenance coordination,base building construction | IT managed services,integrated facility management | CMMS operations | vendor coordination,facility management | IFM | data center facility services
DCS-L4-FAC-003,"Energy, Capacity & Efficiency Optimization",DCS-L4,4,DCS-L4-FAC,Facility Operations,"Organizations providing ongoing optimization of power, cooling, capacity and energy performance in operating data centers.",energy optimization | capacity optimization | PUE improvement,equipment manufacturing | one-time engineering design,thermal optimization | power utilization | capacity planning,energy optimization | PUE | capacity optimization | efficiency
DCS-L4-HND-001,Smart Hands & Remote Hands,DCS-L4,4,DCS-L4-TEC,Technical Operations,Providers performing on-demand physical technical tasks inside operating data centers for remote customers.,remote hands | smart hands | reboots | cable tracing,large deployment projects | facility maintenance,component swaps | visual inspection | console access,smart hands | remote hands | onsite support | data center technician
DCS-L4-NOC-001,Network Operations & NOC Services,DCS-L4,4,DCS-L4-TEC,Technical Operations,Providers continuously monitoring and operating customer networks and coordinating incident response.,NOC services | network monitoring | incident response | availability monitoring,network hardware sales | one-time network integration,24x7 NOC | event correlation | network escalation,NOC | network operations | network monitoring | 24x7 monitoring
DCS-L4-MSP-001,Managed Compute Services,DCS-L4,4,DCS-L4-MSP,Managed Infrastructure,"Providers administering servers, operating systems and compute infrastructure as an ongoing service.",server management | OS administration | patching | compute operations,public cloud IaaS | one-time server deployment,Windows administration | Linux administration | patch management,managed compute | managed servers | server administration | OS management
DCS-L4-MSP-002,Managed Network Services,DCS-L4,4,DCS-L4-MSP,Managed Infrastructure,"Providers administering switching, routing, firewalls and network infrastructure on an ongoing basis.",managed routing | managed switching | managed firewall | network administration,carrier connectivity | network hardware manufacturing,configuration management | network change management | managed WAN,managed network | network administration | managed firewall | network management
DCS-L4-MSP-003,Managed Storage & Data Protection Services,DCS-L4,4,DCS-L4-MSP,Managed Infrastructure,"Providers administering storage, backup, replication and infrastructure-level data protection systems.",managed storage | backup operations | replication management,storage hardware sales | SaaS backup applications,SAN administration | backup management | replication operations,managed storage | backup management | replication | data protection
DCS-L4-MNT-001,OEM Infrastructure Maintenance,DCS-L4,4,DCS-L4-MNT,Maintenance,"Equipment manufacturers providing recurring field service, preventive maintenance and lifecycle support for installed infrastructure.",OEM field service | preventive maintenance | warranty support,new equipment sales alone | third-party multi-vendor maintenance,factory service | parts replacement | service contracts,OEM service | field service | preventive maintenance | warranty
DCS-L4-MNT-002,Third-Party Infrastructure Maintenance,DCS-L4,4,DCS-L4-MNT,Maintenance,"Independent service providers maintaining installed IT, power, cooling or network infrastructure across multiple manufacturers.",multi-vendor maintenance | break-fix | parts replacement,OEM-only service | equipment resale alone,post-warranty support | spares | multi-vendor service,third party maintenance | TPM | multi-vendor maintenance | break fix
DCS-L4-AST-001,Asset & Inventory Operations,DCS-L4,4,DCS-L4-AST,Asset Operations,"Service providers maintaining operational asset records, rack inventory, chain of custody and lifecycle status in active data centers.",asset audits | inventory reconciliation | rack inventory | chain of custody,warehouse staging | ITAD disposition,asset tagging | inventory audit | rack elevation validation,asset management | inventory operations | asset audit | inventory reconciliation
DCS-L5-CLD-001,Public Cloud Infrastructure,DCS-L5,5,DCS-L5-CLD,Cloud Infrastructure,"Providers delivering elastic compute, storage, networking and related infrastructure through shared public cloud platforms.",IaaS | elastic compute | cloud storage | cloud networking,colocation | enterprise SaaS,general-purpose cloud | regional cloud | hyperscale cloud,public cloud | IaaS | elastic compute | cloud infrastructure
DCS-L5-CLD-002,Private Cloud Platforms,DCS-L5,5,DCS-L5-CLD,Cloud Infrastructure,Platforms and providers enabling cloud-like infrastructure services within dedicated private environments.,private cloud | on-prem cloud | dedicated cloud management,public cloud | traditional virtualization alone,enterprise private cloud | hosted private cloud,private cloud | on-prem cloud | dedicated cloud
DCS-L5-CLD-003,Sovereign & Regulated Cloud,DCS-L5,5,DCS-L5-CLD,Cloud Infrastructure,"Cloud providers designed around jurisdictional, regulatory, data residency or national sovereignty requirements.",sovereign cloud | regulated cloud | government cloud,general public cloud without sovereignty controls,national cloud | data residency cloud | regulated environments,sovereign cloud | regulated cloud | government cloud | data residency
DCS-L5-AIC-001,AI / GPU Cloud,DCS-L5,5,DCS-L5-CLD,Cloud Infrastructure,Providers delivering accelerated GPU or AI infrastructure capacity as a cloud service.,GPU cloud | AI compute cloud | accelerated compute services,GPU hardware manufacturing | AI applications,training clusters | inference infrastructure | GPU bare metal,GPU cloud | AI cloud | accelerated computing | GPU infrastructure
DCS-L5-HST-001,Bare Metal Infrastructure Services,DCS-L5,5,DCS-L5-HST,Hosting & Infrastructure Services,Providers delivering dedicated physical servers as rapidly consumable infrastructure services.,bare metal cloud | dedicated servers | API-provisioned bare metal,server hardware sales | retail colocation,on-demand bare metal | dedicated compute,bare metal | dedicated server | bare metal cloud
DCS-L5-HST-002,Managed Hosting,DCS-L5,5,DCS-L5-HST,Hosting & Infrastructure Services,Providers delivering hosted infrastructure together with operational management and support.,managed hosting | hosted servers | managed dedicated infrastructure,pure colocation | public cloud IaaS,managed dedicated servers | hosted infrastructure,managed hosting | hosted infrastructure | dedicated hosting
DCS-L5-VIR-001,Compute Virtualization Platforms,DCS-L5,5,DCS-L5-VIR,Virtualization,Software platforms abstracting physical compute systems into virtual machines and virtual compute pools.,hypervisors | virtual machines | compute virtualization,container orchestration | public cloud,VM management | hyperconverged virtualization,virtualization | hypervisor | virtual machine | VM
DCS-L5-VIR-002,Software-Defined Networking & Network Virtualization,DCS-L5,5,DCS-L5-VIR,Virtualization,Platforms abstracting and programmatically controlling network services independently of physical network hardware.,SDN | network virtualization | virtual networks | virtual switches,physical switches | carrier transport,overlay networks | network policy | virtual routing,SDN | network virtualization | virtual network | software-defined networking
DCS-L5-VIR-003,Software-Defined Storage,DCS-L5,5,DCS-L5-VIR,Virtualization,Platforms abstracting physical storage resources into software-controlled storage pools and services.,software-defined storage | distributed storage | virtual storage pools,physical storage arrays | cloud storage applications,scale-out storage | storage virtualization | distributed block storage,software-defined storage | SDS | storage virtualization
DCS-L5-ORC-001,Container Platforms & Kubernetes,DCS-L5,5,DCS-L5-ORC,Orchestration & Automation,"Platforms providing container runtime, cluster management and application infrastructure built around containers.",Kubernetes platforms | container runtimes | container management,application SaaS | VM-only virtualization,managed Kubernetes platform software | container registries,Kubernetes | container platform | container runtime | K8s
DCS-L5-ORC-002,Infrastructure Automation & IaC,DCS-L5,5,DCS-L5-ORC,Orchestration & Automation,"Platforms automating infrastructure provisioning, configuration and lifecycle using code and declarative workflows.",infrastructure as code | configuration automation | provisioning automation,general CI/CD applications | DCIM,IaC | configuration management | automated provisioning,infrastructure as code | IaC | automation | provisioning
DCS-L5-ORC-003,Hybrid & Multi-Cloud Management,DCS-L5,5,DCS-L5-ORC,Orchestration & Automation,"Platforms managing policy, provisioning, visibility and operations across multiple private and public cloud environments.",multi-cloud management | hybrid cloud management | cloud governance,single public cloud infrastructure | enterprise SaaS,cloud brokerage | cross-cloud policy | cloud cost governance,multi-cloud | hybrid cloud | cloud management | cloud governance
DCS-L5-EDG-001,Edge Computing Platforms,DCS-L5,5,DCS-L5-EDG,Distributed Platforms,"Platforms distributing compute and application execution closer to users, devices or localized data sources.",edge compute | distributed application platforms | MEC platforms,edge data center facility operations | CDN-only content caching,MEC | far edge | regional edge compute,edge computing | MEC | distributed compute | edge platform
DCS-L5-CDN-001,CDN & Content Delivery Infrastructure,DCS-L5,5,DCS-L5-EDG,Distributed Platforms,Platforms distributing and caching digital content across geographically distributed infrastructure for performance and resilience.,content delivery networks | edge caching | traffic acceleration,consumer media applications | carrier transport,web acceleration | edge caching | content delivery,CDN | content delivery network | edge caching | web acceleration
DCS-L6-AI-001,Foundation Model Providers,DCS-L6,6,DCS-L6-AI,Artificial Intelligence,Organizations developing and operating large general-purpose AI models as a primary digital product or service.,large language models | multimodal foundation models | model APIs,GPU cloud providers | AI chip manufacturers,LLMs | multimodal models | model APIs,foundation model | LLM | large language model | model API
DCS-L6-AI-002,AI Applications & Agents,DCS-L6,6,DCS-L6-AI,Artificial Intelligence,Providers of end-user or enterprise applications whose primary functionality is powered by AI models or autonomous agents.,AI assistants | AI agents | vertical AI applications,foundation model infrastructure | general SaaS with incidental AI,enterprise agents | coding assistants | AI copilots,AI application | AI agent | copilot | assistant
DCS-L6-AI-003,AI Inference Services,DCS-L6,6,DCS-L6-AI,Artificial Intelligence,"Providers delivering production-scale model inference, serving or AI execution as a specialized service.",model inference APIs | inference serving | AI execution services,GPU infrastructure rental | foundation model development,low-latency inference | model serving | inference endpoints,AI inference | model serving | inference API
DCS-L6-HPC-001,HPC & Scientific Computing,DCS-L6,6,DCS-L6-AI,Artificial Intelligence,"Organizations operating compute-intensive scientific, engineering, simulation or research workloads.",scientific computing | simulation | weather modeling | research HPC,general enterprise applications | AI model providers,computational science | simulation | research clusters,HPC | high performance computing | scientific computing | simulation
DCS-L6-SAA-001,Enterprise SaaS,DCS-L6,6,DCS-L6-APP,Enterprise Applications,Providers of general enterprise software applications delivered as digital services.,CRM | ERP | HR software | business workflow SaaS,cloud infrastructure | infrastructure management software,business applications | workflow platforms | enterprise productivity,SaaS | enterprise application | CRM | ERP
DCS-L6-COL-001,Collaboration & Productivity Platforms,DCS-L6,6,DCS-L6-APP,Enterprise Applications,"Providers of messaging, collaboration, office productivity and workplace communication applications.",team messaging | video collaboration | office productivity,telecommunications transport | general enterprise SaaS,video meetings | document collaboration | workplace chat,collaboration | productivity | messaging | video conferencing
DCS-L6-DAT-001,Database & Data Platforms,DCS-L6,6,DCS-L6-DAT,Data & Analytics,"Providers whose primary service is database, data warehouse, data lake or managed data platform functionality.",database services | data warehouses | data lake platforms,physical storage hardware | general cloud IaaS,relational database | NoSQL | lakehouse | warehouse,database platform | data warehouse | data lake | lakehouse
DCS-L6-ANA-001,Analytics & Business Intelligence Platforms,DCS-L6,6,DCS-L6-DAT,Data & Analytics,"Providers of large-scale analytics, visualization and business intelligence applications.",BI platforms | analytics applications | data visualization,database infrastructure | AI foundation models,dashboards | enterprise analytics | decision intelligence,analytics platform | business intelligence | BI | data visualization
DCS-L6-CYB-001,Cybersecurity Platforms,DCS-L6,6,DCS-L6-APP,Enterprise Applications,"Providers of digital security applications and services protecting identities, endpoints, networks, applications or data.",identity security | endpoint security | SIEM | application security,physical security systems | managed network operations,zero trust | EDR | SIEM | IAM,cybersecurity | SIEM | EDR | identity security | zero trust
DCS-L6-MED-001,Streaming Media Platforms,DCS-L6,6,DCS-L6-MED,Media & Consumer Platforms,"Providers delivering large-scale video, audio or live-streaming services to consumers or enterprises.",video streaming | audio streaming | live streaming,CDN infrastructure | broadcast equipment manufacturing,OTT video | music streaming | live events,streaming | OTT | video platform | audio streaming
DCS-L6-GAM-001,Online Gaming Platforms,DCS-L6,6,DCS-L6-MED,Media & Consumer Platforms,"Providers operating online multiplayer, cloud gaming or game-service workloads at scale.",multiplayer gaming | cloud gaming | game backends,gaming hardware | general content delivery infrastructure,game servers | MMO platforms | cloud gaming,online gaming | cloud gaming | game platform | game servers
DCS-L6-SOC-001,Social & Community Platforms,DCS-L6,6,DCS-L6-MED,Media & Consumer Platforms,"Providers operating large-scale social networks, communities, messaging or user-generated content platforms.",social networks | community platforms | consumer messaging,enterprise collaboration platforms | carrier messaging transport,user-generated content | social feeds | community services,social media | social platform | community platform | consumer messaging
